Wavelength,Filler,Intensity,
  547.40723,     1.00000,  1240.00000,
  547.47742,     1.00000,  1129.00000,
  547.54761,     1.00000,  1185.00000,
  547.61779,     1.00000,  1120.00000,
  547.68798,     1.00000,  1175.00000,
  547.75816,     1.00000,  1092.00000,
  547.82834,     1.00000,  1100.00000,
  547.89851,     1.00000,  1131.00000,
  547.96869,     1.00000,  1119.00000,
  548.03886,     1.00000,  1095.00000,
  548.10903,     1.00000,  1088.00000,
  548.17919,     1.00000,  1142.00000,
  548.24936,     1.00000,  1232.00000,
  548.31952,     1.00000,  1208.00000,
  548.38968,     1.00000,  1259.00000,
  548.45984,     1.00000,  1292.00000,
  548.53000,     1.00000,  1320.00000,
  548.60015,     1.00000,  1383.00000,
  548.67031,     1.00000,  1364.00000,
  548.74046,     1.00000,  1395.00000,
  548.81060,     1.00000,  1386.00000,
  548.88075,     1.00000,  1323.00000,
  548.95089,     1.00000,  1367.00000,
  549.02103,     1.00000,  1252.00000,
  549.09117,     1.00000,  1285.00000,
  549.16131,     1.00000,  1218.00000,
  549.23144,     1.00000,  1220.00000,
  549.30158,     1.00000,  1166.00000,
  549.37171,     1.00000,  1140.00000,
  549.44183,     1.00000,  1116.00000,
  549.51196,     1.00000,  1148.00000,
  549.58208,     1.00000,  1121.00000,
  549.65220,     1.00000,  1117.00000,
  549.72232,     1.00000,  1078.00000,
  549.79244,     1.00000,  1118.00000,
  549.86256,     1.00000,  1052.00000,
  549.93267,     1.00000,  1100.00000,
  550.00278,     1.00000,   990.00000,
  550.07289,     1.00000,  1071.00000,
  550.14299,     1.00000,  1021.00000,
  550.21310,     1.00000,  1056.00000,
  550.28320,     1.00000,  1037.00000,
  550.35330,     1.00000,  1021.00000,
  550.42339,     1.00000,   996.00000,
  550.49349,     1.00000,  1009.00000,
  550.56358,     1.00000,  1025.00000,
  550.63367,     1.00000,  1013.00000,
  550.70376,     1.00000,   959.00000,
  550.77385,     1.00000,  1009.00000,
  550.84393,     1.00000,  1002.00000,
  550.91401,     1.00000,  1047.00000,
  550.98409,     1.00000,  1010.00000,
  551.05417,     1.00000,   992.00000,
  551.12425,     1.00000,   992.00000,
  551.19432,     1.00000,  1038.00000,
  551.26439,     1.00000,   972.00000,
  551.33446,     1.00000,  1025.00000,
  551.40452,     1.00000,  1037.00000,
  551.47459,     1.00000,  1103.00000,
  551.54465,     1.00000,  1014.00000,
  551.61471,     1.00000,  1046.00000,
  551.68477,     1.00000,  1032.00000,
  551.75482,     1.00000,   985.00000,
  551.82488,     1.00000,   992.00000,
  551.89493,     1.00000,  1039.00000,
  551.96498,     1.00000,  1098.00000,
  552.03502,     1.00000,  1040.00000,
  552.10507,     1.00000,  1012.00000,
  552.17511,     1.00000,   992.00000,
  552.24515,     1.00000,  1024.00000,
  552.31519,     1.00000,  1040.00000,
  552.38522,     1.00000,  1004.00000,
  552.45526,     1.00000,   972.00000,
  552.52529,     1.00000,  1011.00000,
  552.59532,     1.00000,  1002.00000,
  552.66534,     1.00000,   957.00000,
  552.73537,     1.00000,   987.00000,
  552.80539,     1.00000,  1000.00000,
  552.87541,     1.00000,   993.00000,
  552.94543,     1.00000,   946.00000,
  553.01545,     1.00000,  1017.00000,
  553.08546,     1.00000,  1009.00000,
  553.15547,     1.00000,  1022.00000,
  553.22548,     1.00000,  1016.00000,
  553.29549,     1.00000,   977.00000,
  553.36549,     1.00000,  1005.00000,
  553.43550,     1.00000,  1012.00000,
  553.50550,     1.00000,  1060.00000,
  553.57549,     1.00000,  1032.00000,
  553.64549,     1.00000,  1066.00000,
  553.71548,     1.00000,   987.00000,
  553.78548,     1.00000,  1049.00000,
  553.85547,     1.00000,  1021.00000,
  553.92545,     1.00000,  1023.00000,
  553.99544,     1.00000,  1048.00000,
  554.06542,     1.00000,  1058.00000,
  554.13540,     1.00000,  1052.00000,
  554.20538,     1.00000,  1086.00000,
  554.27536,     1.00000,  1097.00000,
  554.34533,     1.00000,  1037.00000,
  554.41530,     1.00000,  1085.00000,
  554.48527,     1.00000,  1112.00000,
  554.55524,     1.00000,  1082.00000,
  554.62521,     1.00000,  1098.00000,
  554.69517,     1.00000,  1122.00000,
  554.76513,     1.00000,  1107.00000,
  554.83509,     1.00000,  1081.00000,
  554.90505,     1.00000,  1172.00000,
  554.97500,     1.00000,  1119.00000,
  555.04495,     1.00000,  1165.00000,
  555.11490,     1.00000,  1117.00000,
  555.18485,     1.00000,  1113.00000,
  555.25480,     1.00000,  1058.00000,
  555.32474,     1.00000,  1082.00000,
  555.39468,     1.00000,  1044.00000,
  555.46462,     1.00000,  1059.00000,
  555.53456,     1.00000,  1024.00000,
  555.60449,     1.00000,  1034.00000,
  555.67442,     1.00000,  1056.00000,
  555.74435,     1.00000,  1028.00000,
  555.81428,     1.00000,  1052.00000,
  555.88421,     1.00000,  1036.00000,
  555.95413,     1.00000,  1070.00000,
  556.02405,     1.00000,  1112.00000,
  556.09397,     1.00000,  1046.00000,
  556.16389,     1.00000,  1034.00000,
  556.23380,     1.00000,  1088.00000,
  556.30372,     1.00000,  1090.00000,
  556.37363,     1.00000,  1074.00000,
  556.44353,     1.00000,  1061.00000,
  556.51344,     1.00000,  1167.00000,
  556.58334,     1.00000,  1082.00000,
  556.65325,     1.00000,  1106.00000,
  556.72315,     1.00000,  1106.00000,
  556.79304,     1.00000,  1095.00000,
  556.86294,     1.00000,  1074.00000,
  556.93283,     1.00000,  1083.00000,
  557.00272,     1.00000,  1107.00000,
  557.07261,     1.00000,  1108.00000,
  557.14250,     1.00000,  1048.00000,
  557.21238,     1.00000,  1102.00000,
  557.28226,     1.00000,  1077.00000,
  557.35214,     1.00000,  1076.00000,
  557.42202,     1.00000,  1064.00000,
  557.49190,     1.00000,  1020.00000,
  557.56177,     1.00000,  1041.00000,
  557.63164,     1.00000,  1054.00000,
  557.70151,     1.00000,  1099.00000,
  557.77138,     1.00000,  1058.00000,
  557.84124,     1.00000,  1046.00000,
  557.91110,     1.00000,  1106.00000,
  557.98096,     1.00000,  1047.00000,
  558.05082,     1.00000,  1061.00000,
  558.12068,     1.00000,  1034.00000,
  558.19053,     1.00000,  1051.00000,
  558.26038,     1.00000,  1080.00000,
  558.33023,     1.00000,  1059.00000,
  558.40008,     1.00000,  1059.00000,
  558.46992,     1.00000,  1025.00000,
  558.53976,     1.00000,  1067.00000,
  558.60960,     1.00000,  1088.00000,
  558.67944,     1.00000,  1042.00000,
  558.74928,     1.00000,  1057.00000,
  558.81911,     1.00000,  1018.00000,
  558.88894,     1.00000,  1105.00000,
  558.95877,     1.00000,  1122.00000,
  559.02860,     1.00000,  1096.00000,
  559.09842,     1.00000,  1141.00000,
  559.16825,     1.00000,  1124.00000,
  559.23807,     1.00000,  1109.00000,
  559.30788,     1.00000,  1147.00000,
  559.37770,     1.00000,  1123.00000,
  559.44751,     1.00000,  1096.00000,
  559.51733,     1.00000,  1130.00000,
  559.58713,     1.00000,  1112.00000,
  559.65694,     1.00000,  1084.00000,
  559.72675,     1.00000,  1120.00000,
  559.79655,     1.00000,  1110.00000,
  559.86635,     1.00000,  1120.00000,
  559.93615,     1.00000,  1151.00000,
  560.00595,     1.00000,  1108.00000,
  560.07574,     1.00000,  1084.00000,
  560.14553,     1.00000,  1070.00000,
  560.21532,     1.00000,  1160.00000,
  560.28511,     1.00000,  1105.00000,
  560.35489,     1.00000,  1132.00000,
  560.42468,     1.00000,  1160.00000,
  560.49446,     1.00000,  1157.00000,
  560.56424,     1.00000,  1036.00000,
  560.63401,     1.00000,  1150.00000,
  560.70379,     1.00000,  1138.00000,
  560.77356,     1.00000,  1104.00000,
  560.84333,     1.00000,  1099.00000,
  560.91310,     1.00000,  1098.00000,
  560.98286,     1.00000,  1133.00000,
  561.05263,     1.00000,  1129.00000,
  561.12239,     1.00000,  1140.00000,
  561.19215,     1.00000,  1112.00000,
  561.26190,     1.00000,  1126.00000,
  561.33166,     1.00000,  1111.00000,
  561.40141,     1.00000,  1096.00000,
  561.47116,     1.00000,  1188.00000,
  561.54091,     1.00000,  1202.00000,
  561.61065,     1.00000,  1166.00000,
  561.68040,     1.00000,  1180.00000,
  561.75014,     1.00000,  1184.00000,
  561.81988,     1.00000,  1239.00000,
  561.88961,     1.00000,  1289.00000,
  561.95935,     1.00000,  1225.00000,
  562.02908,     1.00000,  1213.00000,
  562.09881,     1.00000,  1172.00000,
  562.16854,     1.00000,  1177.00000,
  562.23827,     1.00000,  1192.00000,
  562.30799,     1.00000,  1200.00000,
  562.37771,     1.00000,  1325.00000,
  562.44743,     1.00000,  1494.00000,
  562.51715,     1.00000,  1779.00000,
  562.58686,     1.00000,  1999.00000,
  562.65658,     1.00000,  1730.00000,
  562.72629,     1.00000,  1423.00000,
  562.79600,     1.00000,  1245.00000,
  562.86570,     1.00000,  1234.00000,
  562.93541,     1.00000,  1151.00000,
  563.00511,     1.00000,  1133.00000,
  563.07481,     1.00000,  1213.00000,
  563.14450,     1.00000,  1197.00000,
  563.21420,     1.00000,  1171.00000,
  563.28389,     1.00000,  1085.00000,
  563.35358,     1.00000,  1132.00000,
  563.42327,     1.00000,  1179.00000,
  563.49296,     1.00000,  1145.00000,
  563.56264,     1.00000,  1168.00000,
  563.63233,     1.00000,  1188.00000,
  563.70201,     1.00000,  1162.00000,
  563.77168,     1.00000,  1164.00000,
  563.84136,     1.00000,  1171.00000,
  563.91103,     1.00000,  1078.00000,
  563.98070,     1.00000,  1153.00000,
  564.05037,     1.00000,  1163.00000,
  564.12004,     1.00000,  1194.00000,
  564.18970,     1.00000,  1156.00000,
  564.25936,     1.00000,  1171.00000,
  564.32903,     1.00000,  1169.00000,
  564.39868,     1.00000,  1174.00000,
  564.46834,     1.00000,  1183.00000,
  564.53799,     1.00000,  1193.00000,
  564.60764,     1.00000,  1252.00000,
  564.67729,     1.00000,  1257.00000,
  564.74694,     1.00000,  1170.00000,
  564.81658,     1.00000,  1202.00000,
  564.88623,     1.00000,  1126.00000,
  564.95587,     1.00000,  1173.00000,
  565.02551,     1.00000,  1205.00000,
  565.09514,     1.00000,  1207.00000,
  565.16477,     1.00000,  1152.00000,
  565.23441,     1.00000,  1158.00000,
  565.30404,     1.00000,  1159.00000,
  565.37366,     1.00000,  1210.00000,
  565.44329,     1.00000,  1188.00000,
  565.51291,     1.00000,  1180.00000,
  565.58253,     1.00000,  1153.00000,
  565.65215,     1.00000,  1163.00000,
  565.72177,     1.00000,  1183.00000,
  565.79138,     1.00000,  1133.00000,
  565.86099,     1.00000,  1144.00000,
  565.93060,     1.00000,  1175.00000,
  566.00021,     1.00000,  1167.00000,
  566.06981,     1.00000,  1187.00000,
  566.13942,     1.00000,  1140.00000,
  566.20902,     1.00000,  1202.00000,
  566.27862,     1.00000,  1151.00000,
  566.34821,     1.00000,  1161.00000,
  566.41781,     1.00000,  1191.00000,
  566.48740,     1.00000,  1157.00000,
  566.55699,     1.00000,  1144.00000,
  566.62658,     1.00000,  1178.00000,
  566.69616,     1.00000,  1177.00000,
  566.76574,     1.00000,  1171.00000,
  566.83533,     1.00000,  1176.00000,
  566.90490,     1.00000,  1160.00000,
  566.97448,     1.00000,  1188.00000,
  567.04406,     1.00000,  1240.00000,
  567.11363,     1.00000,  1196.00000,
  567.18320,     1.00000,  1214.00000,
  567.25277,     1.00000,  1237.00000,
  567.32233,     1.00000,  1215.00000,
  567.39190,     1.00000,  1193.00000,
  567.46146,     1.00000,  1230.00000,
  567.53102,     1.00000,  1250.00000,
  567.60057,     1.00000,  1215.00000,
  567.67013,     1.00000,  1247.00000,
  567.73968,     1.00000,  1267.00000,
  567.80923,     1.00000,  1219.00000,
  567.87878,     1.00000,  1228.00000,
  567.94832,     1.00000,  1266.00000,
  568.01787,     1.00000,  1205.00000,
  568.08741,     1.00000,  1228.00000,
  568.15695,     1.00000,  1289.00000,
  568.22649,     1.00000,  1265.00000,
  568.29602,     1.00000,  1218.00000,
  568.36555,     1.00000,  1214.00000,
  568.43508,     1.00000,  1236.00000,
  568.50461,     1.00000,  1264.00000,
  568.57414,     1.00000,  1273.00000,
  568.64366,     1.00000,  1236.00000,
  568.71318,     1.00000,  1193.00000,
  568.78270,     1.00000,  1203.00000,
  568.85222,     1.00000,  1200.00000,
  568.92174,     1.00000,  1193.00000,
  568.99125,     1.00000,  1290.00000,
  569.06076,     1.00000,  1239.00000,
  569.13027,     1.00000,  1190.00000,
  569.19977,     1.00000,  1220.00000,
  569.26928,     1.00000,  1255.00000,
  569.33878,     1.00000,  1231.00000,
  569.40828,     1.00000,  1222.00000,
  569.47778,     1.00000,  1173.00000,
  569.54727,     1.00000,  1245.00000,
  569.61677,     1.00000,  1292.00000,
  569.68626,     1.00000,  1233.00000,
  569.75575,     1.00000,  1244.00000,
  569.82523,     1.00000,  1224.00000,
  569.89472,     1.00000,  1215.00000,
  569.96420,     1.00000,  1241.00000,
  570.03368,     1.00000,  1225.00000,
  570.10316,     1.00000,  1251.00000,
  570.17263,     1.00000,  1269.00000,
  570.24211,     1.00000,  1302.00000,
  570.31158,     1.00000,  1246.00000,
  570.38105,     1.00000,  1252.00000,
  570.45051,     1.00000,  1255.00000,
  570.51998,     1.00000,  1280.00000,
  570.58944,     1.00000,  1283.00000,
  570.65890,     1.00000,  1264.00000,
  570.72836,     1.00000,  1264.00000,
