  540.85649,     1.00000   280.67233
  540.92422,     1.00000   288.97275
  540.99195,     1.00000   309.74677
  541.05968,     1.00000   307.89679
  541.12741,     1.00000   313.38681
  541.19514,     1.00000   320.65048
  541.26286,     1.00000   309.73114
  541.33059,     1.00000   340.08066
  541.39832,     1.00000   380.27408
  541.46605,     1.00000   325.84390
  541.53378,     1.00000   360.06937
  541.60151,     1.00000   379.30615
  541.66924,     1.00000   386.70944
  541.73696,     1.00000   382.56723
  541.80469,     1.00000   364.32697
  541.87242,     1.00000   396.92194
  541.94015,     1.00000   439.35373
  542.00788,     1.00000   436.66449
  542.07561,     1.00000   425.50909
  542.14333,     1.00000   415.57608
  542.21106,     1.00000   429.09348
  542.27879,     1.00000   453.58847
  542.34652,     1.00000   453.28839
  542.41425,     1.00000   437.17432
  542.48198,     1.00000   427.64304
  542.54970,     1.00000   422.59830
  542.61743,     1.00000   417.77551
  542.68516,     1.00000   422.62000
  542.75289,     1.00000   434.58334
  542.82062,     1.00000   435.01736
  542.88835,     1.00000   438.73111
  542.95607,     1.00000   455.05710
  543.02380,     1.00000   442.55209
  543.09153,     1.00000   441.60938
  543.15926,     1.00000   474.25348
  543.22699,     1.00000   461.36545
  543.29472,     1.00000   470.68576
  543.36245,     1.00000   457.68228
  543.43017,     1.00000   476.91840
  543.49790,     1.00000   469.55728
  543.56563,     1.00000   481.67709
  543.63336,     1.00000   461.44531
  543.70109,     1.00000   459.46008
  543.76882,     1.00000   466.60938
  543.83654,     1.00000   481.20764
  543.90427,     1.00000   476.31616
  543.97200,     1.00000   468.42014
  544.03973,     1.00000   468.51740
  544.10746,     1.00000   463.44568
  544.17519,     1.00000   461.84549
  544.24291,     1.00000   468.38913
  544.31064,     1.00000   467.47757
  544.37837,     1.00000   446.93600
  544.44610,     1.00000   433.29279
  544.51383,     1.00000   441.66391
  544.58156,     1.00000   444.54980
  544.64928,     1.00000   445.23059
  544.71701,     1.00000   452.70566
  544.78474,     1.00000   450.19809
  544.85247,     1.00000   441.05038
  544.92020,     1.00000   426.73764
  544.98793,     1.00000   408.36847
  545.05566,     1.00000   429.58548
