  536.92825,     1.00000  1067.48047
  536.99598,     1.00000   927.24274
  537.06370,     1.00000   800.21808
  537.13143,     1.00000   747.71082
  537.19916,     1.00000   749.11517
  537.26689,     1.00000   752.40607
  537.33462,     1.00000   749.18445
  537.40235,     1.00000   761.00262
  537.47007,     1.00000   770.97400
  537.53780,     1.00000   809.81818
  537.60553,     1.00000   825.82080
  537.67326,     1.00000   801.97400
  537.74099,     1.00000   811.65369
  537.80872,     1.00000   790.00000
  537.87644,     1.00000   803.98267
  537.94417,     1.00000   787.50604
  538.01190,     1.00000   831.05719
  538.07963,     1.00000   905.51447
  538.14736,     1.00000   988.38959
  538.21509,     1.00000  1051.24231
  538.28282,     1.00000  1147.27710
  538.35054,     1.00000  1342.54175
  538.41827,     1.00000  1565.70752
  538.48600,     1.00000  1786.80591
  538.55373,     1.00000  2040.83997
  538.62146,     1.00000  2173.85840
  538.68919,     1.00000  2248.55200
  538.75691,     1.00000  2157.71753
  538.82464,     1.00000  2029.77295
  538.89237,     1.00000  1929.45911
  538.96010,     1.00000  1951.59900
  539.02783,     1.00000  2067.74512
  539.09556,     1.00000  1998.82666
  539.16328,     1.00000  1773.67676
  539.23101,     1.00000  1521.60059
  539.29874,     1.00000  1208.89087
  539.36647,     1.00000   976.93634
  539.43420,     1.00000   807.33911
  539.50193,     1.00000   727.88116
  539.56965,     1.00000   674.10828
  539.63738,     1.00000   595.64038
  539.70511,     1.00000   542.33270
  539.77284,     1.00000   461.69843
  539.84057,     1.00000   481.60660
  539.90830,     1.00000   467.35355
  539.97603,     1.00000   445.95480
  540.04375,     1.00000   427.63535
  540.11148,     1.00000   411.63864
  540.17921,     1.00000   400.74564
  540.24694,     1.00000   378.16339
  540.31467,     1.00000   361.29773
  540.38240,     1.00000   362.10089
  540.45012,     1.00000   378.67191
  540.51785,     1.00000   385.11005
  540.58558,     1.00000   406.71912
  540.65331,     1.00000   419.92300
  540.72104,     1.00000   421.97952
  540.78877,     1.00000   423.68259
  540.85649,     1.00000   421.96356
  540.92422,     1.00000   437.04391
  540.99195,     1.00000   435.71552
  541.05968,     1.00000   426.73462
  541.12741,     1.00000   446.53168
  541.19514,     1.00000   420.83954
  541.26286,     1.00000   439.44058
  541.33059,     1.00000   475.75629
  541.39832,     1.00000   494.40762
  541.46605,     1.00000   445.26627
  541.53378,     1.00000   457.28708
  541.60151,     1.00000   459.21075
  541.66924,     1.00000   508.25760
  541.73696,     1.00000   567.07373
  541.80469,     1.00000   547.17346
  541.87242,     1.00000   549.61749
  541.94015,     1.00000   565.02155
  542.00788,     1.00000   542.24817
  542.07561,     1.00000   541.30963
  542.14333,     1.00000   519.01990
  542.21106,     1.00000   558.91852
  542.27879,     1.00000   611.35449
  542.34652,     1.00000   591.04279
  542.41425,     1.00000   557.18903
  542.48198,     1.00000   550.90857
  542.54970,     1.00000   536.77551
  542.61743,     1.00000   511.63562
  542.68516,     1.00000   467.57318
  542.75289,     1.00000   430.13022
  542.82062,     1.00000   449.25696
  542.88835,     1.00000   439.73904
  542.95607,     1.00000   464.46930
  543.02380,     1.00000   436.84897
  543.09153,     1.00000   439.13629
  543.15926,     1.00000   447.78647
  543.22699,     1.00000   483.91406
  543.29472,     1.00000   485.82468
  543.36245,     1.00000   465.39063
  543.43017,     1.00000   502.90103
  543.49790,     1.00000   456.74478
  543.56563,     1.00000   486.76041
  543.63336,     1.00000   519.28387
  543.70109,     1.00000   507.73264
  543.76882,     1.00000   517.34027
  543.83654,     1.00000   513.24066
  543.90427,     1.00000   516.43506
  543.97200,     1.00000   500.33856
  544.03973,     1.00000   516.05261
  544.10746,     1.00000   506.75858
  544.17519,     1.00000   494.45139
  544.24291,     1.00000   481.37216
  544.31064,     1.00000   485.97458
  544.37837,     1.00000   490.50763
  544.44610,     1.00000   489.38574
  544.51383,     1.00000   507.05060
  544.58156,     1.00000   513.62622
  544.64928,     1.00000   521.53784
  544.71701,     1.00000   525.47736
  544.78474,     1.00000   531.37274
  544.85247,     1.00000   520.32837
  544.92020,     1.00000   476.08167
  544.98793,     1.00000   469.22458
  545.05566,     1.00000   467.45483
  545.12338,     1.00000   477.86273
  545.19111,     1.00000   469.45438
  545.25884,     1.00000   458.07993
  545.32657,     1.00000   477.91226
  545.39430,     1.00000   483.78455
  545.46203,     1.00000   528.64899
  545.52975,     1.00000   481.42831
  545.59748,     1.00000   449.79984
  545.66521,     1.00000   456.91867
  545.73294,     1.00000   528.60992
  545.80067,     1.00000   593.69940
  545.86840,     1.00000   647.98956
  545.93612,     1.00000   636.53198
  546.00385,     1.00000   623.83032
  546.07158,     1.00000   628.95404
  546.13931,     1.00000   587.09247
  546.20704,     1.00000   505.01041
